id,PD12,PDLT,EAD,LGD,Stage,Previous PD12,Previous PDLT,Previous EAD,Previous LGD,Previous Stage,Reporting Date,DaysPastDue,Months Since Inception
83979,0.009783894423132641,0.011740673307759169,3380.861906990983,0.8,1,0.009179761580027744,0.011015713896033293,3364.034625077906,0.6,1,2008-03-01,,9
122404,0.3999093869920707,0.4798912643904848,13834.538901424703,0.8,2,0.4024471557738859,0.48293658692866304,13765.681405130543,0.6,2,2008-03-01,,7
115602,0.11929703239164538,0.14315643886997445,27126.54686553863,0.8,3,0.12021876787060555,0.14426252144472665,26991.53216692263,0.6,3,2008-03-01,45,7
117794,0.01654917939505666,0.019859015274067995,8137.964059661588,0.8,1,0.013521039503620895,0.016225247404345073,8097.459650076788,0.6,1,2008-03-01,,7
118533,0.04642909873922848,0.055714918487074175,2712.654686553863,0.8,2,0.04853140840360059,0.058237690084320705,2699.153216692263,0.6,2,2008-03-01,,7
121673,0.022797248553887664,0.027356698264665195,4882.778435796952,0.8,1,0.02297526107256934,0.027570313287083207,4858.475790046073,0.6,1,2008-03-01,,7
128158,0.2748877553802229,0.3298653064562675,13811.852408892933,0.8,2,0.2903692277119437,0.3484430732543324,13743.107828185377,0.6,2,2008-03-01,,6
140730,0.36331918943393166,0.435983027320718,12308.801845005228,0.8,2,0.3622773027909383,0.4347327633491259,12247.538272473677,0.6,2,2008-03-01,,5
154286,0.0769488058527771,0.09233856702333251,15241.214137982808,0.8,2,0.13408879876602764,0.16090655851923316,15165.355314389015,0.6,2,2008-03-01,,4
165216,0.1485523305507522,0.17826279666090264,1828.945696557937,0.8,2,0.1409193141888163,0.16910317702657957,1819.842637726682,0.6,2,2008-03-01,,4
155218,0.0976115695835244,0.11713388350022928,9855.985142562215,0.8,2,0.126737946619649,0.1520855359435788,9806.929769971563,0.6,2,2008-03-01,,4
170990,0.1016255937834849,0.12195071254018187,14981.40245363571,0.8,2,0.16502704369458435,0.1980324524335012,14906.836769062998,0.6,2,2008-03-01,,3
185684,0.24158184543280004,0.28989821451936004,20927.146552422382,0.8,2,0.30856561992763915,0.37027874391316695,20822.987611784876,0.6,2,2008-03-01,,3
208605,0.08324203001368022,0.09989043601641626,498.17811387597743,0.8,2,0.09378676198990565,0.11254411438788678,495.6985735114978,0.6,2,2008-03-01,,2
236199,0.1945472539777957,0.23345670477335484,19927.124555039096,0.8,2,0.1510203245615523,0.18122438947386274,19827.94294045991,0.6,2,2008-03-01,,2
227773,0.023023271875419124,0.02762792625050295,9764.291031969156,0.8,1,0.019861700673717213,0.023834040808460657,9715.692040825355,0.6,1,2008-03-01,,2
218343,0.042479259650254744,0.05097511158030569,2142.165889666703,0.8,2,0.06330080709367855,0.07596096851241425,2131.5038660994405,0.6,2,2008-03-01,,2
243243,0.07158092601892266,0.08589711122270718,4623.009720596547,0.8,2,0.06064209274673008,0.07277051129607609,4600.0,0.8,2,2008-03-01,,1
240378,0.11687901906176401,0.1402548228741168,5427.011411135077,0.8,2,0.1378809869375907,0.16545718432510884,5400.0,0.8,2,2008-03-01,,1
242025,0.32510235381689784,0.3901228245802774,15075.031697597435,0.8,2,0.2903225806451613,0.34838709677419355,15000.0,0.8,2,2008-03-01,,1
238983,0.03677120284412474,0.04412544341294968,10050.021131731624,0.8,2,0.053588516746411484,0.06430622009569378,10000.0,0.8,2,2008-03-01,,1
262532,0.1831424311150203,0.21977091733802434,4020.0084526926494,0.8,2,0.13111888111888112,0.15734265734265734,4000.0,0.8,2,2008-03-01,,1
258668,0.031620275584337214,0.037944330701204655,5025.010565865812,0.8,1,0.04137447405329593,0.049649368863955115,5000.0,0.8,1,2008-03-01,,1
261633,0.051676256096222964,0.062011507315467555,10050.021131731624,0.8,2,0.06245847176079734,0.07495016611295681,10000.0,0.8,2,2008-03-01,,1
256856,0.10902215551131114,0.13082658661357335,8040.016905385299,0.8,2,0.1076923076923077,0.12923076923076923,8000.0,0.8,2,2008-03-01,,1
286038,0.05704341100261046,0.06845209320313256,3600.0,0.8,2,0.05704341100261046,0.06845209320313256,3600.0,0.8,2,2008-03-01,,0
267470,0.25,0.3,12000.0,0.8,2,0.25,0.3,12000.0,0.8,2,2008-03-01,,0
