id,PD12,PDLT,EAD,LGD,Stage,Previous PD12,Previous PDLT,Previous EAD,Previous LGD,Previous Stage,Reporting Date,DaysPastDue,Months Since Inception
465234,0.025419407096324502,0.0305032885155894,7285.430505647099,0.8,2,0.02366616603538036,0.028399399242456432,7473.247327489324,0.81,2,2012-12-01,,36
465457,0.010360940384105715,0.012433128460926857,14570.861011294199,0.8,2,0.010290728453706923,0.012348874144448308,14946.494654978647,0.81,2,2012-12-01,,36
469061,0.06692131837956722,0.08030558205548066,2185.629151694131,0.8,2,0.05737242544461721,0.06884691053354065,2241.9741982467986,0.81,2,2012-12-01,,36
464922,0.16610758233538986,0.19932909880246782,7285.430505647099,0.8,2,0.1245702177167786,0.1494842612601343,7473.247327489324,0.81,2,2012-12-01,,36
467304,0.001,0.0012,3642.7152528235497,0.8,1,0.001,0.0012,3736.623663744662,0.81,1,2012-12-01,,36
463973,0.006951588898558013,0.008341906678269615,7285.430505647099,0.8,1,0.006629743143830096,0.007955691772596115,7473.247327489324,0.81,1,2012-12-01,,36
468362,0.015619017042946565,0.01874282045153588,8742.516606776524,0.8,2,0.022157119734072833,0.026588543680887398,8967.896792987194,0.81,2,2012-12-01,,36
470561,0.04040001600514186,0.04848001920617023,3642.7152528235497,0.8,2,0.06638256451784026,0.0796590774214083,3736.623663744662,0.81,2,2012-12-01,,36
475072,0.011830762134511823,0.014196914561414187,5144.908646258078,0.8,1,0.012681852310250822,0.015218222772300985,5277.5432777818805,0.81,1,2012-12-01,,35
478688,0.11810020010290756,0.14172024012348908,1102.4804241981597,0.8,2,0.11536968142616315,0.13844361771139577,1130.9021309532602,0.81,2,2012-12-01,,35
473709,0.017864462893482223,0.021437355472178666,6247.389070456237,0.8,1,0.023086366729452218,0.02770364007534266,6408.4454087351405,0.81,1,2012-12-01,,35
475307,0.006334840011492173,0.007601808013790607,3674.9347473272005,0.8,1,0.005909659176213765,0.0070915910114565175,3769.6737698442025,0.81,1,2012-12-01,,35
473807,0.010936581216407943,0.01312389745968953,3307.4412725944812,0.8,2,0.011553137820875229,0.013863765385050275,3392.7063928597827,0.81,2,2012-12-01,,35
434246,0.0610642689679164,0.07327712276149967,4703.916476578814,0.8,3,0.07103323243406351,0.08523987892087621,4825.182425400576,0.81,3,2012-12-01,673,35
473192,0.4869524296138668,0.5843429155366402,17639.686787170554,0.8,2,0.6538453166818583,0.7846143800182299,18094.434095252163,0.81,2,2012-12-01,,35
475108,0.018986258217501113,0.022783509861001337,5512.402120990799,0.8,2,0.01671176875962886,0.020054122511554633,5654.510654766302,0.81,2,2012-12-01,,35
480245,0.04341789508818453,0.05210147410582143,1378.1005302476997,0.8,2,0.04345949380166101,0.052151392561993214,1413.6276636915754,0.81,2,2012-12-01,,35
476477,0.010183715747743407,0.012220458897292088,881.9843393585278,0.8,1,0.007331313138777354,0.008797575766532825,904.7217047626082,0.81,1,2012-12-01,,35
478785,0.037737346145099354,0.04528481537411922,8452.349918852558,0.8,2,0.06493338320125872,0.07792005984151046,8670.249670641662,0.81,2,2012-12-01,,35
475410,0.02891016468430564,0.034692197621166765,3307.4412725944812,0.8,2,0.025390328130084277,0.03046839375610113,3392.7063928597827,0.81,2,2012-12-01,,35
475749,0.6117420974351475,0.734090516922177,5144.908646258078,0.8,2,0.45503413868074516,0.5460409664168941,5277.5432777818805,0.81,2,2012-12-01,,35
473923,0.006911108811497634,0.00829333057379716,3527.937357434111,0.8,3,0.009183565662042347,0.011020278794450817,3618.8868190504327,0.81,3,2012-12-01,533,35
